"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Strophariaceae|g__Galerina","Eukaryota|Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Galerina",NA
"k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Strophariaceae|g__Galerina|s__Galerina_marginata","Eukaryota|Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Galerina","Galerina marginata"
"k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Agaricaceae","Eukaryota|Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae",NA,NA
"k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Agaricaceae|g__Agaricus","Eukaryota|Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus",NA
"k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Agaricaceae|g__Agaricus|s__Agaricus_bisporus","Eukaryota|Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Agaricus bisporus"
"k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Agaricaceae|g__Leucoagaricus","Eukaryota|Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Leucoagaricus",NA
"k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Agaricaceae|g__Leucoagaricus|s__Leucoagaricus_sp._SymC.cos","Eukaryota|Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Leucoagaricus","Leucoagaricus sp. SymC.cos"
"k__Eukaryota|k__Fungi|p__Ascomycota","Eukaryota|Fungi","Ascomycota",NA,NA,NA,NA,NA
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Taphrinomycetes","Eukaryota|Fungi","Ascomycota","Taphrinomycetes",NA,NA,NA,NA
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Taphrinomycetes|o__Taphrinales","Eukaryota|Fungi","Ascomycota","Taphrinomycetes","Taphrinales",NA,NA,NA
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Taphrinomycetes|o__Taphrinales|f__Protomycetaceae","Eukaryota|Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Protomycetaceae",NA,NA
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Taphrinomycetes|o__Taphrinales|f__Protomycetaceae|g__Protomyces","Eukaryota|Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Protomycetaceae","Protomyces",NA
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Taphrinomycetes|o__Taphrinales|f__Protomycetaceae|g__Protomyces|s__Protomyces_lactucaedebilis","Eukaryota|Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Protomycetaceae","Protomyces","Protomyces lactucaedebilis"
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Neolectomycetes","Eukaryota|Fungi","Ascomycota","Neolectomycetes",NA,NA,NA,NA
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Neolectomycetes|o__Neolectales","Eukaryota|Fungi","Ascomycota","Neolectomycetes","Neolectales",NA,NA,NA
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Neolectomycetes|o__Neolectales|f__Neolectaceae","Eukaryota|Fungi","Ascomycota","Neolectomycetes","Neolectales","Neolectaceae",NA,NA
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Neolectomycetes|o__Neolectales|f__Neolectaceae|g__Neolecta","Eukaryota|Fungi","Ascomycota","Neolectomycetes","Neolectales","Neolectaceae","Neolecta",NA
"k__Eukaryota|k__Fungi|p__Ascomycota|c__Neolectomycetes|o__Neolectales|f__Neolectaceae|g__Neolecta|s__Neolecta_irregularis","Eukaryota|Fungi","Ascomycota","Neolectomycetes","Neolectales","Neolectaceae","Neolecta","Neolecta irregularis"
